UnitCode;Price;Currency
HPL07R07050000;11945.68;EUR
HPL07R07050001;12159.62;EUR
HPL07L07050000;11945.68;EUR
HPL07L07050001;12159.62;EUR
HPL11R07050000;13188.16;EUR
HPL11R07050001;13402.10;EUR
HPL11L07050000;13188.16;EUR
HPL11L07050001;13402.10;EUR
HPL15R07050000;14947.87;EUR
HPL15R07050001;15161.81;EUR
HPL15L07050000;14947.87;EUR
HPL15L07050001;15161.81;EUR
HPL22R47050000;18362.28;EUR
HPL22R47050001;18576.22;EUR
HPL22R47050010;18982.55;EUR
HPL22R47050011;19196.49;EUR
HPL22R47050100;18759.31;EUR
HPL22R47050101;18973.25;EUR
HPL22R47050110;19379.58;EUR
HPL22R47050111;19593.52;EUR
HPL22R4705C000;19978.61;EUR
HPL22R4705C001;20192.55;EUR
HPL22R4705C010;20598.88;EUR
HPL22R4705C011;20812.82;EUR
HPL22R4705C100;20458.29;EUR
HPL22R4705C101;20672.23;EUR
HPL22R4705C110;21078.56;EUR
HPL22R4705C111;21292.50;EUR
HPL22R49050000;18362.00;EUR
HPL22R49050001;18575.94;EUR
HPL22R49050010;18982.27;EUR
HPL22R49050011;19196.21;EUR
HPL22R49050100;18759.03;EUR
HPL22R49050101;18972.97;EUR
HPL22R49050110;19379.30;EUR
HPL22R49050111;19593.24;EUR
HPL22R4905C000;19978.33;EUR
HPL22R4905C001;20192.27;EUR
HPL22R4905C010;20598.60;EUR
HPL22R4905C011;20812.54;EUR
HPL22R4905C100;20458.01;EUR
HPL22R4905C101;20671.95;EUR
HPL22R4905C110;21078.28;EUR
HPL22R4905C111;21292.22;EUR
HPL22R05050000;18339.16;EUR
HPL22R05050001;18553.10;EUR
HPL22R05050010;18959.43;EUR
HPL22R05050011;19173.37;EUR
HPL22R05050100;18736.19;EUR
HPL22R05050101;18950.13;EUR
HPL22R05050110;19356.46;EUR
HPL22R05050111;19570.40;EUR
HPL22R0505C000;19955.49;EUR
HPL22R0505C001;20169.43;EUR
HPL22R0505C010;20575.76;EUR
HPL22R0505C011;20789.70;EUR
HPL22R0505C100;20435.17;EUR
HPL22R0505C101;20649.11;EUR
HPL22R0505C110;21055.44;EUR
HPL22R0505C111;21269.38;EUR
HPL22L47050000;18362.28;EUR
HPL22L47050001;18576.22;EUR
HPL22L47050010;18988.98;EUR
HPL22L47050011;19202.92;EUR
HPL22L47050100;18759.31;EUR
HPL22L47050101;18973.25;EUR
HPL22L47050110;19386.00;EUR
HPL22L47050111;19599.94;EUR
HPL22L4705C000;19978.61;EUR
HPL22L4705C001;20192.55;EUR
HPL22L4705C010;20605.31;EUR
HPL22L4705C011;20819.25;EUR
HPL22L4705C100;20458.29;EUR
HPL22L4705C101;20672.23;EUR
HPL22L4705C110;21084.99;EUR
HPL22L4705C111;21298.93;EUR
HPL22L49050000;18362.00;EUR
HPL22L49050001;18575.94;EUR
HPL22L49050010;18988.70;EUR
HPL22L49050011;19202.64;EUR
